Final Project;Theory Contro-check - Final [Puntos totales: 100 Puntuación] |31786;Theory Control-check Final - Special needs [Puntos totales: 100 Puntuación] |31786;Final Control-Check in English [Puntos totales: 100 Puntuación] |31792;Final Theory Control-check [Puntos totales: 0 Texto] |319803;Final Individual work-group [Puntos totales: 0 Texto] |341991;Final Mark;Definitive Final Mark [Puntos totales: 0 Texto] |343423;September: Final Project Deliverables [Puntos totales: 10 Puntuación] |37768;September: Individual workgroup report [Puntos totales: 10 Puntuación] |37768;Teoría Septiembre [Puntos totales: 100 Puntuación] |3782;Teoría Septiembre (Necesidades especiales) [Puntos totales: 100 Puntuación] |3782;Theory Contro-check (ENGLISH) - September [Puntos totales: 100 Puntuación] |37825;Teoría Septiembre (Remoto) [Puntos totales: 100 Puntuación] |3782;Teoría Septiembre Gobal [Puntos totales: 0 Texto] |39041;Tabajo En Grupo Septiembre  [Puntos totales: 0 Texto] |390418;Nota Final Septiembre [Puntos totales: 0 Texto] |390419;Calificación Definitiva Septiembre [Puntos totales: 0 Texto] |39042
9,5;;;;PASS;PASS;9,5;SOBRESALIENTE;;;;;;;;;;
8,1;83;;;PASS;PASS;8,1;NOTABLE;;;;;;;;;;
9,6;;;;PASS;PASS;9,6;SOBRESALIENTE;;;;;;;;;;
6,8;49;;;PASS;PASS;6,8;APROBADO;;;;;;;;;;
6;25;;;FAIL;PASS;4;SUSPENSO;;;18;;;;1.8;;1.8;SUSPENSO
5,43;63;;;PASS;PASS;5,43;APROBADO;;;;;;;;;;
8,1;;;;PASS;PASS;8,1;NOTABLE;;;;;;;;;;
8,1;;;;PASS;PASS;8,3;NOTABLE;;;;;;;;;;
;;;;;;;NO PRESENTADO;;;;;;;;;;
9;;;;PASS;PASS;9;SOBRESALIENTE;;;;;;;;;;
;;;;;;;NO PRESENTADO;;;;;;;;;;
7,7;;;;PASS;PASS;7,7;NOTABLE;;;;;;;;;;
;;;;;;;NO PRESENTADO;;;;;;;;;;
5,6;71;;;PASS;PASS;5,6;APROBADO;;;;;;;;;;
9,6;;;;PASS;PASS;9,6;SOBRESALIENTE;;;;;;;;;;
9,5;59;;;PASS;PASS;9,5;SOBRESALIENTE;;;;;;;;;;
8,5;;;;PASS;PASS;8,5;NOTABLE;;;;;;;;;;
8,1;68;;;PASS;PASS;8,3;NOTABLE;;;;;;;;;;
5;;;;PASS;PASS;5;APROBADO;;;;;;;;;;
8,5;;;54;PASS;FAIL;4;SUSPENSO;;;;;;;;;;
;;;;;;;NO PRESENTADO;;;;;;;;;;
5;;;;PASS;PASS;5;APROBADO;;;;;;;;;;
9,5;;;;PASS;PASS;9,5;SOBRESALIENTE;;;;;;;;;;
;;;;;;;NO PRESENTADO;;;;;;;;;;
9;;;;PASS;PASS;9,3;SOBRESALIENTE;;;;;;;;;;
5,43;;;;PASS;PASS;5,43;APROBADO;;;;;;;;;;
8,1;;;;PASS;PASS;8,1;NOTABLE;;;;;;;;;;
3,5;46;;;FAIL;PASS;3,5;SUSPENSO;9;10;53;;;;5.3;9;9;SOBRESALIENTE
;;;;;;;NO PRESENTADO;;;;;;;;;;
;;;;;;;NO PRESENTADO;;;;;;;;;;
;;;;;;;NO PRESENTADO;;;;;;;;;;
4;;;;PASS;PASS;4;SUSPENSO;7,6;10;;;;;;7.6;7.6;NOTABLE
9,3;59;;;PASS;PASS;9,5;SOBRESALIENTE;;;;;;;;;;
9,4;;;;PASS;PASS;9,4;SOBRESALIENTE;;;;;;;;;;
5,5;60;;;PASS;PASS;5,5;APROBADO;;;;;;;;;;
;;;;;;;NO PRESENTADO;;;;;;;;;;
;;;;;;;NO PRESENTADO;5,6;10;61;;;;6.1;5.6;5.6;APROBADO
;61;;;PASS;;4;SUSPENSO;;;;;;;;;;
4;2;;;FAIL;FAIL;4;SUSPENSO;;;;;;;;;;
6;;;;PASS;PASS;6;APROBADO;;;;;;;;;;
;;;;;;;NO PRESENTADO;;;;;;;;;;
;;;;;;;NO PRESENTADO;;;;;;;;;;
8,1;53;;;PASS;PASS;8,3;NOTABLE;;;;;;;;;;
5;55;;;PASS;PASS;5;APROBADO;;;;;;;;;;
9;;;;PASS;PASS;9,3;SOBRESALIENTE;;;;;;;;;;
9,3;76;;;PASS;PASS;9,5;MATRÍCULA DE HONO;;;;;;;;;;
;;;;;;;NO PRESENTADO;;;;;;;;;;
6,4;85;;;PASS;PASS;6,4;APROBADO;;;;;;;;;;
6,4;;;;PASS;PASS;6,4;APROBADO;;;;;;;;;;
;;;;PASS;;4;SUSPENSO;;;;;;;;;;
8,5;;;;PASS;PASS;8,5;NOTABLE;;;;;;;;;;
9,4;;;;PASS;PASS;9,4;MATRÍCULA DE HONO;;;;;;;;;;
7,6;;;;PASS;PASS;8,5;NOTABLE;;;;;;;;;;
6,4;;;;PASS;PASS;6,4;APROBADO;;;;;;;;;;
5,43;83;;;PASS;PASS;5,43;APROBADO;;;;;;;;;;
0;;;;;;0;SUSPENSO;;;;;;;;;;
9;;;;PASS;PASS;9;SOBRESALIENTE;;;;;;;;;;
;;;;;;;NO PRESENTADO;;;;;;;;;;
5;;;;PASS;PASS;5;APROBADO;;;;;;;;;;
5;73;;;PASS;PASS;5;APROBADO;;;;;;;;;;
6;73;;;PASS;PASS;6;APROBADO;;;;;;;;;;
5,5;68;;;PASS;PASS;5,5;APROBADO;;;;;;;;;;
8,4;;;;PASS;PASS;8,4;NOTABLE;;;;;;;;;;
3,5;;;;PASS;PASS;3,5;SUSPENSO;9;10;;;;;;9;9;SOBRESALIENTE
;;;;;;;NO PRESENTADO;;;;;;;;;;
6,4;66;;;PASS;PASS;6,4;APROBADO;;;;;;;;;;
5,58;;;;PASS;PASS;5,58;APROBADO;;;;;;;;;;
;;;;;;;NO PRESENTADO;;;;;;;;;;
;;;;;;;NO PRESENTADO;;;;;;;;;;
6,1;;;;PASS;PASS;6,1;APROBADO;;;;;;;;;;
7,4;;;;PASS;PASS;7,4;NOTABLE;;;;;;;;;;
6,8;59;;;PASS;PASS;6,8;APROBADO;;;;;;;;;;
;;;;;;;NO PRESENTADO;;;;;;;;;;
7,7;;;;PASS;PASS;7,7;NOTABLE;;;;;;;;;;
10;;;;PASS;PASS;10;MATRÍCULA DE HONO;;;;;;;;;;
;;;;;;;NO PRESENTADO;;;;;;;;;;
6,1;60;;;PASS;PASS;6,1;APROBADO;;;;;;;;;;
;;;;;;;NO PRESENTADO;;;;;;;;;;
;;;;;;;NO PRESENTADO;;;;;;;;;;
0;;;;;;0;SUSPENSO;;;;;;;;;;
;;;;;;;NO PRESENTADO;;;;;;;;;;
7,4;68;;;PASS;PASS;7,4;NOTABLE;;;;;;;;;;
5,58;68;;;PASS;PASS;5,58;APROBADO;;;;;;;;;;
5,8;90;;;PASS;PASS;5,8;APROBADO;;;;;;;;;;
4;25;;;FAIL;FAIL;4;SUSPENSO;7,7;10;66;;;;6.6;7,7;7,7;NOTABLE
5,5;69;;;PASS;PASS;5,5;APROBADO;;;;;;;;;;
5;72;;;PASS;PASS;5;APROBADO;;;;;;;;;;
5,5;;;;PASS;PASS;5,5;APROBADO;;;;;;;;;;
;;;;;;;NO PRESENTADO;;;;;;;;;;
5;;;;PASS;PASS;5;APROBADO;;;;;;;;;;
9,3;;;;PASS;PASS;9,5;SOBRESALIENTE;;;;;;;;;;
5,5;;;;PASS;PASS;5,5;APROBADO;;;;;;;;;;
9,5;;;;PASS;PASS;9,5;SOBRESALIENTE;;;;;;;;;;
7,6;;;;PASS;PASS;8,5;NOTABLE;;;;;;;;;;
8,1;;;;PASS;PASS;8,1;NOTABLE;;;;;;;;;;
6;;;;PASS;PASS;6;APROBADO;;;;;;;;;;
6,1;73;;;PASS;PASS;6,1;APROBADO;;;;;;;;;;
;;;;;;;NO PRESENTADO;;;;;;;;;;
9,6;;;;PASS;PASS;9,6;SOBRESALIENTE;;;;;;;;;;
6,1;;;;PASS;PASS;6,1;APROBADO;;;;;;;;;;
5,58;58;;;PASS;PASS;5,58;APROBADO;;;;;;;;;;
;;;;;;;NO PRESENTADO;;;;;;;;;;
;;;;;;;NO PRESENTADO;;;;;;;;;;
6,8;;;;PASS;PASS;6,8;APROBADO;;;;;;;;;;
9,3;;;;PASS;PASS;9,5;MATRÍCULA DE HONO;;;;;;;;;;
5,39;78;;;PASS;PASS;5,39;APROBADO;;;;;;;;;;
;;;;;;;NO PRESENTADO;;;;;;;;;;
9,5;;;;PASS;PASS;9,5;MATRÍCULA DE HONO;;;;;;;;;;
6,4;66;;;PASS;PASS;6,4;APROBADO;;;;;;;;;;
5,8;;;;PASS;PASS;5,8;APROBADO;;;;;;;;;;
4;88;;;PASS;PASS;4;SUSPENSO;7,6;10;;;;;;7.6;7.6;NOTABLE
;;;;;;;NO PRESENTADO;;;;;;;;;;
6,8;40;;;FAIL;PASS;6,8;APROBADO;;;68;;;;6.8;;;
;;;;;;;NO PRESENTADO;;;;;;;;;;
5;;;;PASS;PASS;5;APROBADO;;;;;;;;;;
9,3;;;;PASS;PASS;9,5;SOBRESALIENTE;;;;;;;;;;
;;;;;;;NO PRESENTADO;;;;;;;;;;
;;;;;;;NO PRESENTADO;;;;;;;;;;
;49;;;PASS;;4;SUSPENSO;4,3;10;;;;;;4.3;4.3;SUSPENSO
7,6;;;;PASS;PASS;8,5;NOTABLE;;;;;;;;;;
8,4;23;;;FAIL;;4;SUSPENSO;;;;;;;;;;
;;;;;;;NO PRESENTADO;;;;;;;;;;
8,1;;;;PASS;PASS;8,3;NOTABLE;;;;;;;;;;
;;;;;;;NO PRESENTADO;;;;;;;;;;
5,43;44;;;FAIL;PASS;4;SUSPENSO;;;73;;;;7.3;;5.5;APROBADO
5,6;;;;PASS;PASS;5,6;APROBADO;;;;;;;;;;
0;;;;;;0;SUSPENSO;;;;;;;;;;
6,4;50;;;PASS;PASS;6,4;APROBADO;;;;;;;;;;
5,39;56;;;PASS;PASS;5,39;APROBADO;;;;;;;;;;
9,5;;;;PASS;PASS;9,5;SOBRESALIENTE;;;;;;;;;;
5,8;;;;;;4;SUSPENSO;;;;;;;;;;
5;26;;;FAIL;FAIL;4;SUSPENSO;;;;;;;;;;
;;;;FAIL;;4;SUSPENSO;4,3;10;40;;;;4;4.3;4;SUSPENSO
;;;;;;;NO PRESENTADO;;;;;;;;;;
9,25;;;;PASS;PASS;9,25;SOBRESALIENTE;;;;;;;;;;
;;;;;;;NO PRESENTADO;;;;;;;;;;
5,39;48;;;PASS;PASS;5,39;APROBADO;;;;;;;;;;
5,5;52;;;PASS;FAIL;4;SUSPENSO;;;;;;;;;;
9,3;;;;PASS;PASS;9,5;SOBRESALIENTE;;;;;;;;;;
6,8;55;;;PASS;PASS;6,8;APROBADO;;;;;;;;;;
;;;;;;;NO PRESENTADO;;;;;;;;;;
9,5;;;;PASS;PASS;9,5;SOBRESALIENTE;;;;;;;;;;
;;;;;;;NO PRESENTADO;;;;;;;;;;
;;;;;;;NO PRESENTADO;;;;;;;;;;
5,8;;;;PASS;PASS;5,8;APROBADO;;;;;;;;;;
4;66;;;PASS;FAIL;4;SUSPENSO;7,7;10;;;;;;7,7;7,7;NOTABLE
9,4;;;;PASS;PASS;9,4;SOBRESALIENTE;;;;;;;;;;
6;60;;;PASS;PASS;6;APROBADO;;;;;;;;;;
7,7;56;;;PASS;PASS;7,7;NOTABLE;;;;;;;;;;
5,43;60;;;PASS;PASS;5,43;APROBADO;;;;;;;;;;
;;;;;;;NO PRESENTADO;;;;;;;;;;
4;65;;;PASS;PASS;4;SUSPENSO;7,6;10;;;;;;7.6;7.6;NOTABLE
5,5;29;;;FAIL;PASS;4;SUSPENSO;;;66;;;;6.6;;5.5;APROBADO
4;70;;;PASS;PASS;4;SUSPENSO;7,6;10;;;;;;7.6;;NOTABLE
5,5;;;;PASS;PASS;5,5;APROBADO;;;;;;;;;;
8,1;85;;;PASS;PASS;8,1;NOTABLE;;;;;;;;;;
6,1;;;;PASS;PASS;6,1;APROBADO;;;;;;;;;;
9;;;;PASS;PASS;9;SOBRESALIENTE;;;;;;;;;;
9,4;;;;PASS;PASS;9,4;SOBRESALIENTE;;;;;;;;;;
9;;;;PASS;PASS;9,3;SOBRESALIENTE;;;;;;;;;;
6,4;58;;;PASS;PASS;6,4;APROBADO;;;;;;;;;;
8,5;;;;PASS;PASS;8,5;NOTABLE;;;;;;;;;;
9,6;71;;;PASS;PASS;9,6;SOBRESALIENTE;;;;;;;;;;
8,4;;;;PASS;PASS;8,4;NOTABLE;;;;;;;;;;
6,4;65;;;PASS;PASS;6,4;APROBADO;;;;;;;;;;
6,1;;;;PASS;FAIL;4;SUSPENSO;6,1;10;;;;;;6.1;6.1;APROBADO
7,4;;;;PASS;PASS;7,4;NOTABLE;;;;;;;;;;
5,43;68;;;PASS;PASS;5,43;APROBADO;;;;;;;;;;
5,6;64;;;PASS;PASS;5,6;APROBADO;;;;;;;;;;
;;;;;;;NO PRESENTADO;;;;;;;;;;
;;;;;;;NO PRESENTADO;;;;;;;;;;
8,4;;;;PASS;PASS;8,4;NOTABLE;;;;;;;;;;
;44;;;FAIL;;4;SUSPENSO;;;50;;;;5;4;4;SUSPENSO
8,4;;;;PASS;PASS;8,4;NOTABLE;;;;;;;;;;
10;;;;PASS;PASS;10;MATRÍCULA DE HONO;;;;;;;;;;
;;;;;;;NO PRESENTADO;;;;;;;;;;
6,8;;;;PASS;PASS;6,8;APROBADO;;;;;;;;;;
8,4;;;;PASS;PASS;8,4;NOTABLE;;;;;;;;;;
;;;;;;;NO PRESENTADO;;;;;;;;;;
8,4;;;;PASS;PASS;8,4;NOTABLE;;;;;;;;;;
;;;;;;;NO PRESENTADO;;;;;;;;;;
6,4;;;;PASS;PASS;6,4;APROBADO;;;;;;;;;;
9,5;56;;;PASS;PASS;9,5;SOBRESALIENTE;;;;;;;;;;
5,5;61;;;PASS;PASS;5,5;APROBADO;;;;;;;;;;
5,5;51;;;PASS;PASS;5,5;APROBADO;;;;;;;;;;
;;;;;;;NO PRESENTADO;;;;;;;;;;
9,4;39;;;FAIL;PASS;4;SUSPENSO;;;56;;;;5.6;9.4;9.4;SOBRESALIENTE
5,8;;;;PASS;PASS;5,8;APROBADO;;;;;;;;;;
9,25;;;;PASS;PASS;9,25;SOBRESALIENTE;;;;;;;;;;
5;;;;PASS;PASS;5;APROBADO;;;;;;;;;;
4;53;;;PASS;PASS;4;SUSPENSO;7,6;10;;;;;;7.6;7.6;NOTABLE
5;;;;PASS;PASS;5;APROBADO;;;;;;;;;;
5,6;;;;PASS;PASS;5,6;APROBADO;;;;;;;;;;
5;61;;;PASS;PASS;5;APROBADO;;;;;;;;;;
6,4;40;;;FAIL;PASS;4;SUSPENSO;;;60;;;;6;6.4;6.4;APROBADO
6,1;43;;;FAIL;PASS;4;SUSPENSO;;;60;;;;6;6.4;6.4;APROBADO
5,8;;;;PASS;PASS;5,8;APROBADO;;;;;;;;;;
;;;;;;;NO PRESENTADO;;;;;;;;;;
;;;;;;;NO PRESENTADO;;;;;;;;;;
6,1;60;;;PASS;PASS;6,1;APROBADO;;;;;;;;;;
9;;;;PASS;PASS;9;NOTABLE;;;;;;;;;;
6,4;;;;PASS;PASS;6,4;APROBADO;;;;;;;;;;
9,5;;;;PASS;PASS;9,5;SOBRESALIENTE;;;;;;;;;;
5,6;;;;PASS;PASS;5,6;APROBADO;;;;;;;;;;
;;;;PASS;;4;SUSPENSO;;;;;;;;;;
9;;;;PASS;PASS;9,3;SOBRESALIENTE;;;;;;;;;;
6,4;;;;PASS;PASS;6,4;APROBADO;;;;;;;;;;
7,4;;;;PASS;PASS;7,4;NOTABLE;;;;;;;;;;
7,6;;;;PASS;PASS;8,5;NOTABLE;;;;;;;;;;
6;;;;PASS;PASS;6;APROBADO;;;;;;;;;;
;;;;;;;NO PRESENTADO;;;;;;;;;;
10;;;;PASS;PASS;10;MATRÍCULA DE HONO;;;;;;;;;;
5,39;;;;PASS;PASS;5,39;APROBADO;;;;;;;;;;
8,5;;;59;PASS;FAIL;4;SUSPENSO;;;;;;;;;;
6;;;;;;0;SUSPENSO;;;71;;;;7.1;6;6;APROBADO
9;;;;PASS;PASS;9,3;SOBRESALIENTE;;;;;;;;;;
;;;;;;;NO PRESENTADO;;;;;;;;;;
7,6;;;;PASS;PASS;8,5;NOTABLE;;;;;;;;;;
;;;;;;;NO PRESENTADO;;;;;;;;;;
9,5;;;;PASS;PASS;9,5;SOBRESALIENTE;;;;;;;;;;
6,1;61;;;PASS;PASS;6,1;APROBADO;;;;;;;;;;
7,6;;;;PASS;PASS;8,5;NOTABLE;;;;;;;;;;
7,4;43;;;FAIL;PASS;4;SUSPENSO;;;75;;;75;7.5;7.4;7.4;NOTABLE
5,6;50;;;PASS;PASS;5,6;APROBADO;;;;;;;;;;
4;61;;;PASS;FAIL;4;SUSPENSO;7,7;10;;;;;;7,7;7,7;NOTABLE
5,58;;;;;;4;SUSPENSO;;;;;;;;;;
;;;;;;;NO PRESENTADO;;;;;;;;;;
3,5;;;;PASS;PASS;3,5;SUSPENSO;9;10;;;;;;9;9;SOBRESALIENTE
10;;;;PASS;PASS;10;SOBRESALIENTE;;;;;;;;;;
9,5;;;;PASS;PASS;9,5;SOBRESALIENTE;;;;;;;;;;
0;;;;;FAIL;0;SUSPENSO;;;;;;;;;;
5;28;;;FAIL;PASS;4;SUSPENSO;;;73;;;;7.3;;5;APROBADO
;;;;PASS;;4;SUSPENSO;4,3;10;;;;;;4.3;4.3;SUSPENSO
8,1;;;;PASS;PASS;8,1;NOTABLE;;;;;;;;;;
6,1;53;;;PASS;FAIL;4;SUSPENSO;;;;;;;;;;
9,5;;;;PASS;PASS;9,5;SOBRESALIENTE;;;;;;;;;;
4;73;;;PASS;FAIL;4;SUSPENSO;7,7;10;;;;;;7,7;7,7;NOTABLE
;;;;;;;NO PRESENTADO;;;;;;;;;;
5,5;;;;;;4;SUSPENSO;4,4;10;47;;;;4.7;4.4;4.4;SUSPENSO
;;;;;;;NO PRESENTADO;;;50;;;;5;4;4;SUSPENSO
;;;;;;;NO PRESENTADO;;;;;;;;;;
8,4;30;;;FAIL;PASS;4;SUSPENSO;;;58;;;;5.8;8.4;8.4;NOTABLE
9;;;;PASS;PASS;9,3;MATRÍCULA DE HONO;;;;;;;;;;
3,5;;;;PASS;PASS;3,5;SUSPENSO;9;10;;;;;;9;9;SOBRESALIENTE
7,4;75;;;PASS;PASS;7,4;APROBADO;;;;;;;;;;
6;75;;;PASS;PASS;6;APROBADO;;;;;;;;;;
5,39;55;;;PASS;PASS;5,39;APROBADO;;;;;;;;;;
7,7;54;;;PASS;PASS;7,7;NOTABLE;;;;;;;;;;
;;;;;;;NO PRESENTADO;;;;;;;;;;
8,4;36;;;FAIL;PASS;4;SUSPENSO;;;50;;;;5;8.9;5;APROBADO
5;21;;;FAIL;PASS;4;SUSPENSO;;;58;;;;5.8;5;5;APROBADO
;;;;;;;NO PRESENTADO;;;;;;;;;;
5;51;;;PASS;PASS;5;APROBADO;;;;;;;;;;
9,25;;;;PASS;PASS;9,25;SOBRESALIENTE;;;;;;;;;;
6;;;;PASS;PASS;6;APROBADO;;;;;;;;;;
;;;;;;;NO PRESENTADO;;;;;;;;;;
3,5;;;;PASS;PASS;3,5;SUSPENSO;9;10;;;;;;9;9;SOBRESALIENTE
9,25;;;;PASS;PASS;9,25;SOBRESALIENTE;;;;;;;;;;
8,5;;;;PASS;PASS;8,5;NOTABLE;;;;;;;;;;
;;;;;;;NO PRESENTADO;;;;;;;;;;
