Final Mark December [Puntos totales: 0 Texto] |414620;Calificación Diciembre [Puntos totales: 0 Texto] |41462;Pre-test for theory control check [Puntos totales: 100 Puntuación] |41482;Sprint 3 Deliverables / Entrega Sprint 3 [Puntos totales: 10 Puntuación] |41517;Puntuación del trabajo en grupo en el Sprint 3 [Puntos totales: 10 Puntuación] |4151;Sprint 3 Retrospective / Retrospectiva del Sprint 3 [Puntos totales: 10 Puntuación] |41517;Theory Mark [Puntos totales: 0 Texto] |438507;Practice Mark ;Individual Project Mark;Final Mark;Final Calification [Puntos totales: 0 Texto] |438511;September: Final Project Deliverables [Puntos totales: 10 Puntuación] |46567;September: Individual workgroup report [Puntos totales: 10 Puntuación] |46567;September: Lab Control-check [Puntos totales: 10 Puntuación] |46567;Control Check Teoría Septiembre [Puntos totales: 100 Puntuación] |4658;Theory ControlCheck September (English) [Puntos totales: 100 Puntuación] |46583
;;30;Necesita calificació;Necesita calificació;Necesita calificació;5,8;7;3;4,2;SUSPENSO;5,3;10;;;
;;;Necesita calificació;Necesita calificació;Necesita calificació;4;8;7,5;7;NOTABLE;;;;;
;;100;Necesita calificació;Necesita calificació;Necesita calificació;7,2;9;6;6,7;APROBADO;;;;;
;;;Necesita calificació;Necesita calificació;Necesita calificació;6,8;2;2;3;SUSPENSO;5,7;10;6;;
;;86;Necesita calificació;Necesita calificació;Necesita calificació;7,3;8;9,3;8,7;NOTABLE;;;;;
;;86;Necesita calificació;Necesita calificació;Necesita calificació;5,6;8;9,2;8,3;NOTABLE;;;;;
;;100;Necesita calificació;Necesita calificació;Necesita calificació;7,8;8;9;8,6;NOTABLE;;;;;
;;86;Necesita calificació;Necesita calificació;Necesita calificació;5,1;9;4;5;APROBADO;;;;;
;;44;Necesita calificació;;Necesita calificació;8;6;4,2;5,2;APROBADO;;;;;
;;;;Necesita calificació;;;;;;NO PRESENTADO;;;;;
;;;;;;;;;;NO PRESENTADO;;;;;
;;;;;;;;;;NO PRESENTADO;;;;;
;;86;Necesita calificació;Necesita calificació;Necesita calificació;6,8;8;6,11;6,5;APROBADO;;;;;
;;;;;;;;;;NO PRESENTADO;;;;;
;;100;Necesita calificació;;Necesita calificació;7,8;2;5;4;SUSPENSO;;;8;;
;;100;Necesita calificació;;Necesita calificació;6,7;4;5,5;5,5;APROBADO;;;;;
;;100;Necesita calificació;Necesita calificació;Necesita calificació;9,3;9;9,3;9,3;MATRÍCULA DE HONO;;;;;
;;;;;;;;;;NO PRESENTADO;;;;;
;;;Necesita calificació;Necesita calificació;Necesita calificació;5;5;3,6;4,1;SUSPENSO;4,3;10;;;
;;86;Necesita calificació;Necesita calificació;Necesita calificació;5,1;5;4,1;4,4;SUSPENSO;4,5;10;;;
;;;;;;;;;;NO PRESENTADO;;;;;
;;36;Necesita calificació;;Necesita calificació;5,5;5;7,54;6,8;APROBADO;;;;;
;;72;Necesita calificació;Necesita calificació;Necesita calificació;4,9;2;5,62;4;SUSPENSO;;;7;;
;;100;Necesita calificació;Necesita calificació;Necesita calificació;8,8;10;9;9,1;MATRÍCULA DE HONO;;;;;
;;6;Necesita calificació;Necesita calificació;Necesita calificació;6,3;7;6,8;6,7;APROBADO;;;;;
;;;;;;;;;;NO PRESENTADO;;;;;
;;44;Necesita calificació;Necesita calificació;Necesita calificació;8,8;10;2;4,6;SUSPENSO;5,7;10;;;
;;100;Necesita calificació;Necesita calificació;Necesita calificació;8;10;9,2;9,1;MATRÍCULA DE HONO;;;;;
4,5;SUSPENSO;;;;;;;;;NO PRESENTADO;;;;;
;;100;Necesita calificació;;Necesita calificació;4,8;8;5,5;5,7;APROBADO;;;;;
;;;;;;;;;;NO PRESENTADO;;;;;
;;100;Necesita calificació;Necesita calificació;Necesita calificació;7,8;10;6,7;7,4;NOTABLE;;;;;
;;22;Necesita calificació;Necesita calificació;Necesita calificació;5,3;1;9,3;4;SUSPENSO;;;0;;
;;58;Necesita calificació;Necesita calificació;Necesita calificació;8,3;10;9,4;9,3;MATRÍCULA DE HONO;;;;;
;;;;;;;;;;NO PRESENTADO;;;;;
;;0;Necesita calificació;Necesita calificació;Necesita calificació;6,9;8;4,61;5,6;APROBADO;;;;;
;;72;Necesita calificació;Necesita calificació;Necesita calificació;6,1;8;6,9;6,9;APROBADO;;;;;
;;100;Necesita calificació;;Necesita calificació;4,6;4;7,54;6,4;APROBADO;;;;;
;;86;Necesita calificació;Necesita calificació;Necesita calificació;4,7;9;6,7;6,6;APROBADO;;;;;
;;100;Necesita calificació;Necesita calificació;Necesita calificació;5;6;6,5;6,1;APROBADO;;;;;
;;;;Necesita calificació;;8,1;10;7,14;7,8;NOTABLE;;;;;
;;100;Necesita calificació;Necesita calificació;Necesita calificació;7,9;10;8,12;8,4;NOTABLE;;;;;
;;86;Necesita calificació;Necesita calificació;Necesita calificació;7,1;7;5,7;6,2;APROBADO;;;;;
;;30;Necesita calificació;Necesita calificació;Necesita calificació;6,8;10;5,62;6,5;APROBADO;;;;;
;;;;;;;;;;;;;;;
;;100;Necesita calificació;Necesita calificació;Necesita calificació;5,8;8;3,6;4,7;SUSPENSO;4,3;10;;;
;;86;Necesita calificació;;Necesita calificació;6,8;10;4,5;5,8;APROBADO;;;;;
;;100;Necesita calificació;Necesita calificació;Necesita calificació;8,8;9;7,5;8;NOTABLE;;;;;
;;100;Necesita calificació;Necesita calificació;Necesita calificació;6,6;10;6,9;7,3;NOTABLE;;;;;
;;86;Necesita calificació;Necesita calificació;Necesita calificació;3,9;;4,56;3,7;SUSPENSO;;;7;Necesita calificació;
;;58;Necesita calificació;Necesita calificació;Necesita calificació;7,3;9;5,62;6,5;APROBADO;;;;;
;;100;Necesita calificació;Necesita calificació;Necesita calificació;8,5;7;2;4,1;SUSPENSO;5,7;10;;;
;;100;Necesita calificació;Necesita calificació;Necesita calificació;4,3;6;5,3;5,2;APROBADO;;;;;
;;10;;;;3,6;;;0,7;SUSPENSO;;;;;
;;72;Necesita calificació;Necesita calificació;Necesita calificació;4,9;7;5,62;5,7;APROBADO;;;;;
;;0;Necesita calificació;Necesita calificació;Necesita calificació;6,5;10;7,41;7,6;NOTABLE;;;;;
;;100;Necesita calificació;Necesita calificació;Necesita calificació;5,1;10;6,6;6,8;APROBADO;;;;;
;;100;Necesita calificació;Necesita calificació;Necesita calificació;6,3;7;5,2;5,7;APROBADO;;;;;
;;100;Necesita calificació;Necesita calificació;Necesita calificació;8,6;10;9,6;9,5;MATRÍCULA DE HONO;;;;;
;;;;;;;;;;NO PRESENTADO;;;;;
;;86;Necesita calificació;Necesita calificació;Necesita calificació;7,1;9;9,3;8,8;NOTABLE;;;;;
;;90;Necesita calificació;Necesita calificació;Necesita calificació;9;8;5,8;6,8;APROBADO;;;;;
;;100;Necesita calificació;Necesita calificació;Necesita calificació;6,1;8;4;5;APROBADO;;;;;
;;86;Necesita calificació;Necesita calificació;Necesita calificació;5,9;4;4;4,4;SUSPENSO;4,5;10;;;
;;86;Necesita calificació;Necesita calificació;Necesita calificació;6,2;10;7;7,3;NOTABLE;;;;;
;;0;Necesita calificació;Necesita calificació;Necesita calificació;6,6;9;5,25;6,1;APROBADO;;;;;
;;30;Necesita calificació;;Necesita calificació;2,9;8;5,5;4;SUSPENSO;;;;60;
;;;Necesita calificació;Necesita calificació;Necesita calificació;4,5;2;7,5;4;SUSPENSO;;;6;;
;;100;Necesita calificació;Necesita calificació;Necesita calificació;6,6;10;4,94;6;APROBADO;;;;;
;;100;Necesita calificació;Necesita calificació;Necesita calificació;6,9;8;4,6;5,6;APROBADO;;;;;
;;0;Necesita calificació;Necesita calificació;Necesita calificació;8,8;4;6,8;6,8;APROBADO;;;;;
;;100;Necesita calificació;;Necesita calificació;5,1;10;5,5;6,1;APROBADO;;;;;
;;100;Necesita calificació;Necesita calificació;Necesita calificació;5,3;7;5,21;5,5;APROBADO;;;;;
;;44;Necesita calificació;Necesita calificació;Necesita calificació;4,8;10;7;7;NOTABLE;;;;;
;;;Necesita calificació;Necesita calificació;Necesita calificació;4,5;10;5,32;5,9;APROBADO;;;;;
;;72;Necesita calificació;Necesita calificació;Necesita calificació;6,2;8;9,2;8,4;NOTABLE;;;;;
;;86;;;;;;;;NO PRESENTADO;1,8;10;9;81;
;;48;Necesita calificació;Necesita calificació;Necesita calificació;6,8;9;5,6;6,4;APROBADO;;;;;
;;20;Necesita calificació;Necesita calificació;Necesita calificació;6,1;9;4,2;5,3;APROBADO;;;;;
;;;;;;;;;;NO PRESENTADO;;;;;
;;100;Necesita calificació;Necesita calificació;Necesita calificació;5,8;5;3,6;4,3;SUSPENSO;4,3;10;;;
;;100;Necesita calificació;Necesita calificació;Necesita calificació;4,5;10;6,7;6,8;APROBADO;;;;;
;;;;;;;;;;NO PRESENTADO;;;;;
;;72;Necesita calificació;Necesita calificació;Necesita calificació;8,6;10;7,14;8;NOTABLE;;;;;
;;0;Necesita calificació;Necesita calificació;Necesita calificació;4,2;7;4,1;4,6;SUSPENSO;;;;35;
;;;;;;;;;;NO PRESENTADO;;;;;
;;;;;;;;;;NO PRESENTADO;;;;;
;;100;Necesita calificació;Necesita calificació;Necesita calificació;5,6;10;6,7;7;APROBADO;;;;;
;;0;Necesita calificació;Necesita calificació;Necesita calificació;10;10;5,62;7,2;NOTABLE;;;;;
7;NOTABLE;;;;;;;;;NO PRESENTADO;;;;;
;;;Necesita calificació;Necesita calificació;Necesita calificació;5;2;3,6;3,6;SUSPENSO;;;;;
;;70;Necesita calificació;Necesita calificació;Necesita calificació;5,1;10;6,7;6,9;APROBADO;;;;;
;;100;Necesita calificació;Necesita calificació;Necesita calificació;7,4;10;7,08;7,6;NOTABLE;;;;;
;;;Necesita calificació;;Necesita calificació;;;6,8;4;SUSPENSO;;;;;
;;0;Necesita calificació;Necesita calificació;Necesita calificació;5,8;7;5,3;5,7;APROBADO;;;;;
;;100;Necesita calificació;Necesita calificació;Necesita calificació;4,7;9;9,2;8,3;NOTABLE;;;;;
;;86;Necesita calificació;Necesita calificació;Necesita calificació;6,9;7;2;3,7;SUSPENSO;5,7;;;;
;;100;Necesita calificació;Necesita calificació;Necesita calificació;6,7;7;3,78;4,8;SUSPENSO;;;;;
;;100;Necesita calificació;Necesita calificació;Necesita calificació;7,6;10;6,8;7,4;NOTABLE;;;;;
;;0;Necesita calificació;Necesita calificació;Necesita calificació;5;8;5,5;5,8;APROBADO;;;;;
;;28;Necesita calificació;Necesita calificació;Necesita calificació;5,5;8;6;6,2;APROBADO;;;;;
;;;;;;;;;;NO PRESENTADO;;;;;
;;100;Necesita calificació;Necesita calificació;Necesita calificació;7,1;2;6,8;4;SUSPENSO;;;6;;
;;100;Necesita calificació;Necesita calificació;Necesita calificació;6;8;6,8;6,8;APROBADO;;;;;
;;0;Necesita calificació;;Necesita calificació;6,3;7;6,5;6,5;APROBADO;;;;;
4;SUSPENSO;;Necesita calificació;Necesita calificació;Necesita calificació;6,1;5;4;4,6;SUSPENSO;4,5;10;;;
;;100;Necesita calificació;Necesita calificació;Necesita calificació;9,3;10;9;9,2;MATRÍCULA DE HONO;;;;;
;;72;Necesita calificació;Necesita calificació;Necesita calificació;6,1;8;4,4;5,3;APROBADO;;;;;
;;0;Necesita calificació;Necesita calificació;Necesita calificació;4,6;9;6,9;6,8;APROBADO;;;;;
;;100;Necesita calificació;Necesita calificació;Necesita calificació;5,5;6;3,6;4,3;SUSPENSO;4,3;10;;;
;;;Necesita calificació;Necesita calificació;Necesita calificació;5,2;7;6,5;6,3;APROBADO;;;;;
;;16;Necesita calificació;;Necesita calificació;6,2;7;5,5;5,9;APROBADO;;;;;
;;100;Necesita calificació;Necesita calificació;Necesita calificació;5,9;3;4;4;SUSPENSO;;;6;;
;;;Necesita calificació;Necesita calificació;Necesita calificació;4,6;5;3,9;4,2;SUSPENSO;4,5;10;;;
;;100;Necesita calificació;Necesita calificació;Necesita calificació;8;8;6,6;7,1;NOTABLE;;;;;
;;100;Necesita calificació;Necesita calificació;Necesita calificació;5,8;3;6;4;SUSPENSO;;;8;;
;;100;Necesita calificació;Necesita calificació;Necesita calificació;8,6;10;6,9;7,7;NOTABLE;;;;;
;;100;Necesita calificació;Necesita calificació;Necesita calificació;5;10;9,2;8,5;NOTABLE;;;;;
;;100;Necesita calificació;Necesita calificació;Necesita calificació;8,5;10;4,94;6,4;APROBADO;;;;;
;;72;Necesita calificació;Necesita calificació;Necesita calificació;5;10;4,94;5,7;APROBADO;;;;;
;;0;;;;3,7;;;0,7;SUSPENSO;;;;;
;;;;;;;;;;NO PRESENTADO;;;;;
;;30;Necesita calificació;;Necesita calificació;6,4;10;3;4,7;SUSPENSO;5,3;10;;;
;;86;Necesita calificació;Necesita calificació;Necesita calificació;6,2;8;4;5;APROBADO;;;;;
;;100;Necesita calificació;Necesita calificació;Necesita calificació;6,8;9;6,8;7,1;NOTABLE;;;;;
;;100;Necesita calificació;Necesita calificació;Necesita calificació;4,9;1;3,5;3,4;SUSPENSO;5,2;10;7;;
;;;;;;;;;;NO PRESENTADO;;;;;
;;58;Necesita calificació;Necesita calificació;Necesita calificació;7,1;7;9;8,3;NOTABLE;;;;;
;;100;Necesita calificació;Necesita calificació;Necesita calificació;6,4;4;6,8;6,3;APROBADO;;;;;
;;;;;;;;;;NO PRESENTADO;;;;;
;;100;Necesita calificació;Necesita calificació;Necesita calificació;7,5;8;9;8,6;NOTABLE;;;;;
;;100;Necesita calificació;Necesita calificació;Necesita calificació;5,3;10;9,2;8,5;NOTABLE;;;;;
;;10;Necesita calificació;;Necesita calificació;5,6;5;3;3,8;SUSPENSO;5,3;10;;;
;;;Necesita calificació;;Necesita calificació;;;;;NO PRESENTADO;;;;;
;;0;Necesita calificació;Necesita calificació;Necesita calificació;;;;;NO PRESENTADO;;;;;
;;100;Necesita calificació;Necesita calificació;Necesita calificació;4,4;7;2;3,2;SUSPENSO;5,7;10;;;
;;;;;;;;;;NO PRESENTADO;;;;;
;;100;;;;;;;;NO PRESENTADO;1,8;10;9;52;
;;80;Necesita calificació;;Necesita calificació;6,2;8;7,54;7,3;NOTABLE;;;;;
;;58;Necesita calificació;Necesita calificació;Necesita calificació;7,2;6;4,3;5,1;APROBADO;;;;;
;;;;;;;;;;NO PRESENTADO;;;;;
;;76;Necesita calificació;Necesita calificació;Necesita calificació;4,8;8;6;6,1;APROBADO;;;;;
;;100;Necesita calificació;Necesita calificació;Necesita calificació;4,7;10;4;5;APROBADO;;;;;
;;100;Necesita calificació;Necesita calificació;Necesita calificació;7,3;10;7,7;8;NOTABLE;;;;;
;;100;Necesita calificació;Necesita calificació;Necesita calificació;7,3;9;4,8;5,9;APROBADO;;;;;
;;86;Necesita calificació;Necesita calificació;Necesita calificació;6,6;8;3,9;5,1;APROBADO;;;;;
;;;;;;;;;;NO PRESENTADO;;;;;
;;;;;;;;;;NO PRESENTADO;;;;;
;;0;Necesita calificació;;Necesita calificació;4,8;8;3;4,1;SUSPENSO;5,3;10;;;
;;;;;;;;;;NO PRESENTADO;;;;;
;;;Necesita calificació;;Necesita calificació;6,9;5;6,9;6,6;APROBADO;;;;;
;;86;Necesita calificació;Necesita calificació;Necesita calificació;6,5;9;6,5;7;NOTABLE;;;;;
;;100;Necesita calificació;;Necesita calificació;5;1;4;3,8;SUSPENSO;;;0;66;
;;86;Necesita calificació;Necesita calificació;Necesita calificació;5;10;5,21;5,9;APROBADO;;;;;
4,5;SUSPENSO;;;;;;;;;NO PRESENTADO;;;;;
;;86;Necesita calificació;Necesita calificació;Necesita calificació;7;9;9,2;8,7;NOTABLE;;;;;
;;100;Necesita calificació;Necesita calificació;Necesita calificació;6,3;10;4,94;6;APROBADO;;;;;
;;58;Necesita calificació;Necesita calificació;Necesita calificació;5,7;7;9,3;8,2;NOTABLE;;;;;
;;10;Necesita calificació;Necesita calificació;Necesita calificació;9;8;5,3;6,4;APROBADO;;;;;
;;0;;;;;;;;NO PRESENTADO;;;;;
;;;;;;;;;;NO PRESENTADO;;;;;
;;100;Necesita calificació;Necesita calificació;Necesita calificació;7,5;8;4,52;5,6;APROBADO;;;;;
;;;Necesita calificació;Necesita calificació;Necesita calificació;2,9;;2;1,9;SUSPENSO;5,7;10;7;47;
;;100;Necesita calificació;Necesita calificació;Necesita calificació;4;4;4,1;4,1;SUSPENSO;;;;;
;;;;;;;;;;NO PRESENTADO;;;;;
;;0;Necesita calificació;Necesita calificació;Necesita calificació;7,6;10;5,32;6,5;APROBADO;;;;;
;;100;Necesita calificació;Necesita calificació;Necesita calificació;10;10;4,5;6,4;APROBADO;;;;;
;;;;;;;;;;NO PRESENTADO;;;;;
;;;;;;;;;;NO PRESENTADO;;;;;
;;;Necesita calificació;;Necesita calificació;;;;;NO PRESENTADO;;;;;
;;100;Necesita calificació;Necesita calificació;Necesita calificació;6,5;10;4,94;6;APROBADO;;;;;
;;58;Necesita calificació;Necesita calificació;Necesita calificació;5,8;10;6,8;7,1;NOTABLE;;;;;
;;100;Necesita calificació;Necesita calificació;Necesita calificació;8;8;6,45;7;NOTABLE;;;;;
;;;;;;;;;;NO PRESENTADO;;;;;
;;;Necesita calificació;Necesita calificació;Necesita calificació;9,3;9;4,1;5,9;APROBADO;;;;;
;;100;Necesita calificació;Necesita calificació;Necesita calificació;7,8;9;6,8;7,3;NOTABLE;;;;;
;;86;Necesita calificació;Necesita calificació;Necesita calificació;8,1;9;9,2;9;MATRÍCULA DE HONO;;;;;
;;20;Necesita calificació;Necesita calificació;Necesita calificació;5,3;8;5,6;5,9;APROBADO;;;;;
;;100;Necesita calificació;Necesita calificació;Necesita calificació;6,6;8;7,32;7,3;NOTABLE;;;;;
;;;;;;;;;;NO PRESENTADO;;;;;
;;100;Necesita calificació;En proceso;Necesita calificació;7,4;8;5,6;6,3;APROBADO;;;;;
;;10;Necesita calificació;Necesita calificació;Necesita calificació;5,3;4;4,5;4,6;SUSPENSO;4,6;10;10;;
;;100;Necesita calificació;Necesita calificació;Necesita calificació;6,2;9;6,5;6,8;APROBADO;;;;;
;;;;;;;;;;NO PRESENTADO;;;;;
;;0;Necesita calificació;Necesita calificació;Necesita calificació;8,3;7;3,85;5,2;APROBADO;;;;;
;;;Necesita calificació;Necesita calificació;Necesita calificació;4,4;3;6;4;SUSPENSO;;;6;;
;;56;Necesita calificació;Necesita calificació;Necesita calificació;4,3;10;4,5;5,3;APROBADO;;;;;
;;;Necesita calificació;Necesita calificació;Necesita calificació;8;7;5,6;6,3;APROBADO;;;;;
;;46;Necesita calificació;;Necesita calificació;7,6;10;6,9;7,5;NOTABLE;;;;;
;;;Necesita calificació;;Necesita calificació;6,5;6;4,3;5;APROBADO;;;;;
;;100;Necesita calificació;Necesita calificació;Necesita calificació;7,6;10;9,2;9;MATRÍCULA DE HONO;;;;;
;;;;;;;;;;NO PRESENTADO;;;;;
;;86;Necesita calificació;Necesita calificació;Necesita calificació;4,1;10;6,6;6,6;APROBADO;;;;;
;;0;Necesita calificació;Necesita calificació;Necesita calificació;3,3;6;6,8;4;SUSPENSO;;;;58;
;;86;Necesita calificació;Necesita calificació;Necesita calificació;4,3;3;5,8;4;SUSPENSO;;;;;
;;;Necesita calificació;Necesita calificació;Necesita calificació;6,9;9;3,6;5,1;APROBADO;;;;;
;;76;Necesita calificació;Necesita calificació;Necesita calificació;7,3;7;9,2;8,5;NOTABLE;;;;;
;;72;Necesita calificació;Necesita calificació;Necesita calificació;6,3;5;5,6;5,7;APROBADO;;;;;
;;72;Necesita calificació;Necesita calificació;Necesita calificació;4,4;9;5,32;5,7;APROBADO;;;;;
;;;Necesita calificació;Necesita calificació;Necesita calificació;8,8;9;7,54;8;NOTABLE;;;;;
;;100;Necesita calificació;Necesita calificació;Necesita calificació;5,2;10;7;7,1;NOTABLE;;;;;
;;;;;;;;;;NO PRESENTADO;;;;;
;;;;;;;;;;NO PRESENTADO;;;;;
;;100;Necesita calificació;Necesita calificació;Necesita calificació;4,7;8;5,2;5,5;APROBADO;;;;;
;;100;Necesita calificació;Necesita calificació;Necesita calificació;3,9;2;5,32;4;SUSPENSO;;;5;61;
;;;Necesita calificació;Necesita calificació;Necesita calificació;5,1;10;4,48;5,4;APROBADO;;;;;
;;;Necesita calificació;Necesita calificació;Necesita calificació;8,6;3;4,48;4;SUSPENSO;;;7;;
;;;;;;;;;;NO PRESENTADO;;;;;
;;;;;;;;;;NO PRESENTADO;;;;;
;;100;Necesita calificació;Necesita calificació;Necesita calificació;5,8;7;7,24;7;NOTABLE;;;;;
;;100;Necesita calificació;Necesita calificació;Necesita calificació;5,5;6;4;4,6;SUSPENSO;6;10;;;
;;86;Necesita calificació;Necesita calificació;Necesita calificació;7,1;8;4,3;5,4;APROBADO;;;;;
;;16;Necesita calificació;Necesita calificació;Necesita calificació;6,4;4;3,08;3,9;SUSPENSO;3;10;;;
;;;;;;;;;;NO PRESENTADO;;;;;
7;NOTABLE;;;;;;;;;NO PRESENTADO;;;;;
;;;;;;;;;;NO PRESENTADO;;;;;
;;;;;;;;;;NO PRESENTADO;;;;;
;;;Necesita calificació;Necesita calificació;Necesita calificació;7,1;6;6,5;6,5;APROBADO;;;;;
;;;;;;;;;;NO PRESENTADO;;;;;
;;86;Necesita calificació;Necesita calificació;Necesita calificació;5,6;10;4,5;5,5;APROBADO;;;;;
;;100;Necesita calificació;Necesita calificació;Necesita calificació;4,1;;3,6;3,2;SUSPENSO;4,3;10;0;42;
;;0;Necesita calificació;Necesita calificació;Necesita calificació;4,5;8;7,22;6,8;APROBADO;;;;;
;;86;Necesita calificació;Necesita calificació;Necesita calificació;5;9;5,32;5,8;APROBADO;;;;;
;;;Necesita calificació;Necesita calificació;Necesita calificació;5,3;5;3,9;4,3;SUSPENSO;;;;;
;;;;;;;;;;NO PRESENTADO;;;;;
;;;;;;;;;;NO PRESENTADO;;;;;
;;52;Necesita calificació;Necesita calificació;Necesita calificació;4,4;10;7;7;NOTABLE;;;;;
;;86;Necesita calificació;Necesita calificació;Necesita calificació;4,5;8;5,9;5,9;APROBADO;;;;;
;;100;Necesita calificació;Necesita calificació;Necesita calificació;6,8;9;7,7;7,7;NOTABLE;;;;;
;;100;Necesita calificació;Necesita calificació;Necesita calificació;8,5;8;4;5,5;APROBADO;;;;;
;;86;Necesita calificació;Necesita calificació;Necesita calificació;6,9;10;4;5,5;APROBADO;;;;;
;;72;Necesita calificació;Necesita calificació;Necesita calificació;4,4;8;6;6;APROBADO;;;;;
;;;;;;;;;;NO PRESENTADO;3;10;0;41;
;;;;;;;;;;NO PRESENTADO;;;;;
;;86;Necesita calificació;Necesita calificació;Necesita calificació;7;10;5,21;6,3;APROBADO;;;;;
;;100;Necesita calificació;Necesita calificació;Necesita calificació;5,1;10;9,2;8,5;NOTABLE;;;;;
;;;Necesita calificació;Necesita calificació;Necesita calificació;9;9;6;7,1;NOTABLE;;;;;
;;44;Necesita calificació;Necesita calificació;Necesita calificació;5;3;7,13;4;SUSPENSO;;;6;;
;;100;Necesita calificació;Necesita calificació;Necesita calificació;9,3;8;6,9;7,5;NOTABLE;;;;;
;;;Necesita calificació;Necesita calificació;Necesita calificació;5,8;1;4,1;4;SUSPENSO;;;9;;
;;;;;;;;;;NO PRESENTADO;;;;;
;;;;;;;;;;NO PRESENTADO;;;;;
;;;;;;;;;;NO PRESENTADO;;;;;
;;86;Necesita calificació;Necesita calificació;Necesita calificació;5,5;10;6,8;7;NOTABLE;;;;;
;;66;Necesita calificació;Necesita calificació;Necesita calificació;7,3;8;5,6;6,3;APROBADO;;;;;
;;;;;;;;;;NO PRESENTADO;;;;;
;;;;;;;;;;NO PRESENTADO;;;;;
;;100;Necesita calificació;Necesita calificació;Necesita calificació;8;10;6,6;7,4;NOTABLE;;;;;
;;;;;;;;;;NO PRESENTADO;;;;;
